İlçe,Harita İlçe-Mahalle,2023 Nüfus
Sarıyer,Sarıyer Rumeli Hisarı,9644
Sarıyer,Sarıyer Rumeli Kavağı,3659
Sarıyer,Sarıyer Tarabya,17605
Sarıyer,Sarıyer Sarıyer Yenimahalle,3284
Sarıyer,Sarıyer Yeniköy,14712
Sarıyer,Sarıyer Bahçeköy Merkez,3596
Sarıyer,Sarıyer Bahçeköy Yenimahalle,4971
Sarıyer,Sarıyer Bahçeköy Kemer,2244
Sarıyer,Sarıyer Ayazağa,35376
Sarıyer,Sarıyer Huzur,8204
Sarıyer,Sarıyer Maslak,12069
Sarıyer,Sarıyer Demirciköy,1683
Sarıyer,Sarıyer Garipçe,380
Sarıyer,Sarıyer Gümüşdere,2673
Sarıyer,Sarıyer Kısırkaya,367
Sarıyer,Sarıyer Kumköy (Kilyos),3973
Sarıyer,Sarıyer Rumelifeneri,4516
Sarıyer,Sarıyer Uskumruköy,9920
Sarıyer,Sarıyer Zekeriyaköy,22527
Silivri,Silivri Fatih,6796
Silivri,Silivri Piri Mehmet Paşa,8068
Silivri,Silivri Alibey,17666
Silivri,Silivri Yeni,45189
Silivri,Silivri Cumhuriyet,9285
Silivri,Silivri Mimar Sinan,27684
Silivri,Silivri Küçük Kılıçlı,322
Silivri,Silivri Gazitepe,1258
Silivri,Silivri Semizkumlar,27901
Silivri,Silivri Alipaşa,1020
Silivri,Silivri Çanta Balaban,4366
Silivri,Silivri Çanta Sancaktepe,6217
Silivri,Silivri Yolçatı,402
Silivri,Silivri Değirmenköy Fevzipaşa,3506
Silivri,Silivri Değirmenköy İsmetpaşa,3325
Silivri,Silivri Gümüşyaka,9555
Silivri,Silivri Kavaklı İstiklal,1995
Silivri,Silivri Kavaklı Hürriyet,1765
Silivri,Silivri Ortaköy,4224
Silivri,Silivri Kadıköy,1450
Silivri,Silivri Selimpaşa,23963
Silivri,Silivri Büyük Çavuşlu,3235
Silivri,Silivri Akören,1463
Silivri,Silivri Çeltik,1048
Silivri,Silivri Fener,1505
Silivri,Silivri Seymen,1045
Silivri,Silivri Büyük Sinekli,441
Silivri,Silivri Bekirli,227
Silivri,Silivri Beyciler,1386
Silivri,Silivri Büyük Kılıçlı,1259
Silivri,Silivri Çayırdere,1417
Silivri,Silivri Danamandıra,1118
Silivri,Silivri Kurfallı,552
Silivri,Silivri Küçük Sinekli,145
Silivri,Silivri Sayalar,925
Sultanbeyli,Sultanbeyli Ahmet Yesevi,29766
Sultanbeyli,Sultanbeyli Adil,33963
Sultanbeyli,Sultanbeyli Battalgazi,38294
Sultanbeyli,Sultanbeyli Mecidiye,21799
Sultanbeyli,Sultanbeyli Mimar Sinan,25088
Sultanbeyli,Sultanbeyli Turgut Reis,19791
Sultanbeyli,Sultanbeyli Hasanpaşa,17271
Sultanbeyli,Sultanbeyli Abdurrahmangazi,27696
Sultanbeyli,Sultanbeyli Mehmet Akif,27430
Sultanbeyli,Sultanbeyli Fatih,20910
Sultanbeyli,Sultanbeyli Hamidiye,26402
Sultanbeyli,Sultanbeyli Yavuz Selim,20172
Sultanbeyli,Sultanbeyli Necip Fazıl,22120
Sultanbeyli,Sultanbeyli Orhangazi,16439
Sultanbeyli,Sultanbeyli Akşemsettin,13561
Sultangazi,Sultangazi Eski Habipler,13292
Sultangazi,Sultangazi Yayla,7922
Sultangazi,Sultangazi Cumhuriyet,13940
Sultangazi,Sultangazi Yunus Emre,52156
Sultangazi,Sultangazi 75. Yıl,31741
Sultangazi,Sultangazi Zübeyde Hanım,31580
Sultangazi,Sultangazi Gazi,34742
Sultangazi,Sultangazi Esentepe,62993
Sultangazi,Sultangazi 50. Yıl,70243
Sultangazi,Sultangazi Sultançiftliği,37503
Sultangazi,Sultangazi Uğur Mumcu,41273
Sultangazi,Sultangazi Cebeci,59846
Sultangazi,Sultangazi İsmetpaşa,54484
Sultangazi,Sultangazi Malkoçoğlu,13197
Sultangazi,Sultangazi Habibler,7890
Şile,Şile Kumbaba,1570
Şile,Şile Hacı Kasım,1020
Şile,Şile Çavuş,12337
Şile,Şile Balibey,3950
Şile,Şile Ağva Merkez,2170
Şile,Şile Ahmetli,2984
Şile,Şile Akçakese,524
Şile,Şile Bozgoca,121
Şile,Şile Çayırbaşı,1309
Şile,Şile Darlık,197
Şile,Şile Erenler,145
Şile,Şile İmrendere,429
Şile,Şile İmrenli,428
Şile,Şile Kabakoz,755
Şile,Şile Karabeyli,250
Şile,Şile Karacaköy,336
Şile,Şile Karamandere,372
Şile,Şile Kızılca,662
Şile,Şile Korucu,247
Şile,Şile Meşrutiyet,2420
Şile,Şile Ovacık,182
Şile,Şile Satmazlı,546
Şile,Şile Yeniköy,475
Şile,Şile Bucaklı,379
Şile,Şile Çataklı,251
Şile,Şile Çelebi,337
Şile,Şile Geredeli,744
Şile,Şile Göçe,843
Şile,Şile Gökmaşlı,235
Şile,Şile Göksu,303
Şile,Şile Hacıllı,273
Şile,Şile İsaköy,353
Şile,Şile Kadıköy,374
Şile,Şile Kalem,350
Şile,Şile Kurfallı,336
Şile,Şile Soğullu,201
Şile,Şile Şuayipli,308
Şile,Şile Teke,509
Şile,Şile Ağaçdere,124
Şile,Şile Çengilli,216
Şile,Şile Değirmençayırı,638
Şile,Şile Hasanlı,291
Şile,Şile Osmanköy,302
Şile,Şile Sortullu,173
Şile,Şile Yaka,452
Şile,Şile Yaylalı,83
Şile,Şile Yazımanayır,210
Şile,Şile Yeşilvadi,401
Şile,Şile Alacalı,682
Şile,Şile Avcıkoru,154
Şile,Şile Bıçkıdere,432
Şile,Şile Doğancılı,874
Şile,Şile Esenceli,111
Şile,Şile Karakiraz,321
Şile,Şile Kervansaray,529
Şile,Şile Kömürlük,252
Şile,Şile Kurna,273
Şile,Şile Oruçoğlu,524
Şile,Şile Sahilköy,1098
Şile,Şile Sofular,355
Şile,Şile Ulupelit,224
Şile,Şile Üvezli,593
Şişli,Şişli 19 Mayıs Mahallesi,10886
Şişli,Şişli Bozkurt,9914
Şişli,Şişli Cumhuriyet,7576
Şişli,Şişli Duatepe,7615
Şişli,Şişli Ergenekon,2254
Şişli,Şişli Esentepe,7006
Şişli,Şişli Eskişehir,11534
Şişli,Şişli Feriköy,13589
Şişli,Şişli Fulya,16666
Şişli,Şişli Gülbahar,23124
Şişli,Şişli Halide Edip Adıvar,16596
Şişli,Şişli Halil Rıfat Paşa,6651
Şişli,Şişli Halaskargazi,1672
Şişli,Şişli Harbiye,2217
Şişli,Şişli Kaptanpaşa,3208
Şişli,Şişli Kuştepe,15567
Şişli,Şişli Mahmut Şevket Paşa,18044
Şişli,Şişli Mecidiyeköy,18893
Şişli,Şişli Merkez,12890
Şişli,Şişli Meşrutiyet,7103
Şişli,Şişli Paşa,18955
Şişli,Şişli Teşvikiye,10735
Şişli,Şişli Yayla,11398
Şişli,Şişli İnönü,3080
Şişli,Şişli İzzet Paşa,7563
Tuzla,Tuzla Aydınlı,69836
Tuzla,Tuzla Aydınlı,69836
Tuzla,Tuzla Yayla,30205
Tuzla,Tuzla İçmeler,10958
Tuzla,Tuzla Aydıntepe,26917
Tuzla,Tuzla Evliya Çelebi,14026
Tuzla,Tuzla Postane,21144
Tuzla,Tuzla Aydınlı,69836
Tuzla,Tuzla Mimar Sinan,27919
Tuzla,Tuzla Şifa,31879
Tuzla,Tuzla İstasyon,24653
Tuzla,Tuzla Cami,5805
Tuzla,Tuzla Akfırat,2753
Tuzla,Tuzla Tepeören,7098
Tuzla,Tuzla Tepeören,7098
Tuzla,Tuzla Orhanlı,1933
Tuzla,Tuzla Orta,11263
Tuzla,Tuzla Anadolu,839
Tuzla,Tuzla Fatih,1148
Tuzla,Tuzla Mescit,5225
Tuzla,Tuzla Aydınlı,69836
Tuzla,Tuzla Aydınlı,69836
Tuzla,Tuzla Aydınlı,69836
Ümraniye,Ümraniye Esenkent,21439
Ümraniye,Ümraniye Atatürk,24104
Ümraniye,Ümraniye Namık Kemal,28491
Ümraniye,Ümraniye İnkılap,34935
Ümraniye,Ümraniye Çakmak,37993
Ümraniye,Ümraniye İstiklal,48047
Ümraniye,Ümraniye Yukarı Dudullu,21532
Ümraniye,Ümraniye Aşağı Dudullu,15040
Ümraniye,Ümraniye Kazım Karabekir,15830
Ümraniye,Ümraniye Hekimbaşı,7355
Ümraniye,Ümraniye Ihlamurkuyu,15903
Ümraniye,Ümraniye Esenşehir,20732
Ümraniye,Ümraniye Atakent,19933
Ümraniye,Ümraniye Adem Yavuz,16766
Ümraniye,Ümraniye Altınşehir,28363
Ümraniye,Ümraniye Armağanevler,39708
Ümraniye,Ümraniye Cemil Meriç,21718
Ümraniye,Ümraniye Çamlık,24097
Ümraniye,Ümraniye Dumlupınar,12024
Ümraniye,Ümraniye Elmalıkent,21956
Ümraniye,Ümraniye Esenevler,26149
Ümraniye,Ümraniye Fatih Sultan Mehmet,4658
Ümraniye,Ümraniye Huzur,12070
Ümraniye,Ümraniye Madenler,15597
Ümraniye,Ümraniye Mehmet Akif,26150
Ümraniye,Ümraniye Necip Fazıl,28327
Ümraniye,Ümraniye Parseller,15821
Ümraniye,Ümraniye Saray,0
Ümraniye,Ümraniye Site,21465
Ümraniye,Ümraniye Şerifali,9502
Ümraniye,Ümraniye Tantavi,11784
Ümraniye,Ümraniye Tatlısu,22972
Ümraniye,Ümraniye Tepeüstü,13449
Ümraniye,Ümraniye Topağacı,13826
Ümraniye,Ümraniye Yamanevler,17889
Ümraniye,Ümraniye Esenkent,21439
Ümraniye,Ümraniye Finanskent,8113
Ümraniye,Ümraniye Yenişehir,0
Üsküdar,Üsküdar Acıbadem,23437
Üsküdar,Üsküdar Altunizade,12397
Üsküdar,Üsküdar Bahçelievler,22909
Üsküdar,Üsküdar Barbaros,16999
Üsküdar,Üsküdar Beylerbeyi,5165
Üsküdar,Üsküdar Bulgurlu,30488
Üsküdar,Üsküdar Burhaniye,16304
Üsküdar,Üsküdar Cumhuriyet,37696
Üsküdar,Üsküdar Ferah,21426
Üsküdar,Üsküdar Güzeltepe,13240
Üsküdar,Üsküdar İcadiye,15762
Üsküdar,Üsküdar Salacak,9350
Üsküdar,Üsküdar Kandilli,1410
Üsküdar,Üsküdar Kirazlıtepe,9355
Üsküdar,Üsküdar Kısıklı,20253
Üsküdar,Üsküdar Kuleli,4142
Üsküdar,Üsküdar Kuzguncuk,3981
Üsküdar,Üsküdar Küçüksu,18514
Üsküdar,Üsküdar Küplüce,16852
Üsküdar,Üsküdar Mehmet Akif Ersoy,19550
Üsküdar,Üsküdar Muratreis,13607
Üsküdar,Üsküdar Selami Ali,13011
Üsküdar,Üsküdar Selimiye,8023
Üsküdar,Üsküdar Ünalan,35654
Üsküdar,Üsküdar Valide-İ Atik,20278
Üsküdar,Üsküdar Yavuztürk,31768
Üsküdar,Üsküdar Ahmediye,8638
Üsküdar,Üsküdar Aziz Mahmut Hüdayi,8608
Üsküdar,Üsküdar Çengelköy,13623
Üsküdar,Üsküdar Küçükçamlıca,10980
Üsküdar,Üsküdar Mimar Sinan,11478
Üsküdar,Üsküdar Sultantepe,10573
Üsküdar,Üsküdar Zeynep Kamil,11877
Zeytinburnu,Zeytinburnu Sümer,38577
Zeytinburnu,Zeytinburnu Nuripaşa,26814
Zeytinburnu,Zeytinburnu Yenidoğan,9900
Zeytinburnu,Zeytinburnu Gökalp,18641
Zeytinburnu,Zeytinburnu Yeşiltepe,20110
Zeytinburnu,Zeytinburnu Veliefendi,24920
Zeytinburnu,Zeytinburnu Çırpıcı,26082
Zeytinburnu,Zeytinburnu Beştelsiz,20590
Zeytinburnu,Zeytinburnu Telsiz,34024
Zeytinburnu,Zeytinburnu Kazlıçeşme,4779
Zeytinburnu,Zeytinburnu Seyitnizam,22096
Zeytinburnu,Zeytinburnu Merkezefendi,24333
Zeytinburnu,Zeytinburnu Maltepe,10030
